,height,geometry
84,29.27,"POLYGON ((369862.3768999996 3284879.8246, 369864.2916000001 3284880.445699999, 369862.8658999996 3284884.840600001, 369872.5455 3284888.002699999, 369875.8370000003 3284877.9265, 369874.6135 3284877.527100001, 369874.4301000005 3284878.0888, 369870.5100999996 3284876.8092, 369870.1262999997 3284878.053200001, 369865.8431000002 3284876.5603, 369867.4828000003 3284871.3413, 369863.4556999998 3284870.6, 369862.6173 3284875.1547, 369863.4577000001 3284875.358100001, 369862.3768999996 3284879.8246))"
85,31.68,"POLYGON ((369894.6352000004 3284890.4069, 369899.6794999996 3284891.0726, 369900.0828 3284887.7598, 369895.2569000004 3284887.0984, 369894.6352000004 3284890.4069))"
86,22.46,"POLYGON ((369902.8558999998 3284940.668299999, 369896.3982999995 3284939.796700001, 369894.1287000002 3284956.613, 369901.6040000003 3284957.1798, 369902.8558999998 3284940.668299999))"
87,26.9,"POLYGON ((369913.4676999999 3284959.609999999, 369908.8125 3284959.1501, 369908.0586999999 3284967.323100001, 369908.1163999997 3284967.329299999, 369914.8618000001 3284968.048599999, 369913.4676999999 3284959.609999999))"
88,20.86,"POLYGON ((369889.9234999996 3284983.8223, 369894.6454999996 3284984.499, 369896.0986000001 3284973.395199999, 369891.3992999997 3284972.7586, 369889.9234999996 3284983.8223))"
89,25.26,"POLYGON ((369799.7161999997 3284962.639699999, 369801.4203000003 3284957.916999999, 369796.7593 3284956.077199999, 369794.9387999997 3284960.915899999, 369799.7161999997 3284962.639699999))"
90,30.25,"POLYGON ((369801.4203000003 3284957.916999999, 369803.5961999996 3284951.886700001, 369798.9883000003 3284950.153000001, 369796.7593 3284956.077199999, 369801.4203000003 3284957.916999999))"
91,30.25,"POLYGON ((369780.2142000003 3284949.8894, 369782.7242999999 3284944.0056, 369775.8783 3284941.085000001, 369775.1672 3284942.885199999, 369774.5437000003 3284942.638900001, 369772.8859000001 3284946.811100001, 369780.2142000003 3284949.8894))"
92,31.38,"POLYGON ((369782.7242999999 3284944.0056, 369783.6370999999 3284941.8662, 369776.7235000003 3284938.9451, 369775.8783 3284941.085000001, 369782.7242999999 3284944.0056))"
93,31.52,"POLYGON ((369783.8958000001 3284951.435900001, 369795.2856000001 3284956.2203, 369797.5952000003 3284950.3498, 369786.3971999995 3284945.5725, 369783.8958000001 3284951.435900001))"
94,30.86,"POLYGON ((369786.3971999995 3284945.5725, 369797.5952000003 3284950.3498, 369798.4676999999 3284948.132200001, 369787.3153999997 3284943.420299999, 369786.3971999995 3284945.5725))"
95,27.27,"POLYGON ((369807.3674999997 3284926.7557, 369809.5900999997 3284921.646, 369797.0543999998 3284916.4109, 369794.8759000003 3284921.529100001, 369807.3674999997 3284926.7557))"
96,27.27,"POLYGON ((369803.1891000001 3284936.362, 369806.1180999996 3284929.6282, 369802.1010999996 3284927.9561, 369800.7779999999 3284930.960200001, 369792.3826000001 3284927.3868, 369790.7556999996 3284931.2093, 369803.1891000001 3284936.362))"
97,31.49,"POLYGON ((369749.8640999999 3284902.460100001, 369759.9255999997 3284905.096799999, 369760.8420000002 3284901.6834, 369751.1183000002 3284897.775, 369749.8640999999 3284902.460100001))"
98,31.6,"POLYGON ((369748.0943 3284909.0715, 369758.1021999996 3284911.888599999, 369759.9255999997 3284905.096799999, 369749.8640999999 3284902.460100001, 369748.0943 3284909.0715))"
99,26.77,"POLYGON ((369745.2006000001 3284918.772399999, 369755.0826000003 3284922.701199999, 369758.1021999996 3284911.888599999, 369748.0943 3284909.0715, 369746.9198000003 3284913.458900001, 369745.2006000001 3284918.772399999))"
100,25.87,"POLYGON ((369725.6124 3284905.6932, 369739.4550000001 3284909.351500001, 369741.0954999998 3284902.895, 369727.3828999996 3284899.406199999, 369725.6124 3284905.6932))"
101,32.84,"POLYGON ((369725.6124 3284905.6932, 369723.9347999999 3284911.6501, 369737.9447999997 3284915.295499999, 369739.4550000001 3284909.351500001, 369725.6124 3284905.6932))"
102,26.72,"POLYGON ((369703.1804999998 3284909.918299999, 369702.4917000001 3284911.595000001, 369696.5472999997 3284909.153200001, 369697.2216999996 3284907.511499999, 369694.9373000003 3284906.5889, 369692.8625999996 3284911.5626, 369695.9316999996 3284912.821699999, 369695.0349000003 3284914.989399999, 369691.9293 3284913.8002, 369690.8161000004 3284916.468900001, 369701.1765000001 3284920.6722, 369702.2982000001 3284917.9705, 369699.2083999999 3284916.753799999, 369700.1765000001 3284914.4527, 369703.2260999996 3284915.7357, 369705.2879999997 3284910.7695, 369703.1804999998 3284909.918299999))"
103,28.32,"POLYGON ((369654.8501000004 3284862.1208, 369655.8870000001 3284859.525699999, 369658.2139999997 3284854.351399999, 369649.4709000001 3284850.5472, 369645.4899000004 3284858.0154, 369654.8501000004 3284862.1208))"
