,height,geometry,木,涂料,红砖,金属,面砖,玻璃,青砖
38,32.88976,"POLYGON ((370141.444440552 3284970.236651992, 370141.137495433 3284966.434286295, 370136.9921611594 3284966.771083729, 370137.3166636033 3284970.572022943, 370141.444440552 3284970.236651992))",0,0,0,1,0,0,0
39,34.21367,"POLYGON ((370110.8219599267 3285005.789801057, 370114.0076166345 3285018.999892781, 370121.6803731387 3285017.182580987, 370118.5218321765 3285003.836134654, 370110.8219599267 3285005.789801057))",0,1,0,0,0,0,0
40,34.21367,"POLYGON ((370110.8219599267 3285005.789801057, 370118.5218321765 3285003.836134654, 370117.41517579 3284999.29900202, 370120.614431004 3284998.517115826, 370120.0313693564 3284996.049120925, 370116.0547969639 3284997.053266007, 370115.4328429727 3284994.69247427, 370108.5594226588 3284996.40764611, 370110.8219599267 3285005.789801057))",0,1,0,0,0,0,0
41,34.95773,"POLYGON ((370229.6336304042 3284987.334840737, 370229.4499770263 3284984.226259969, 370220.3543556193 3284985.061906667, 370220.6698679896 3284988.158373084, 370229.6336304042 3284987.334840737))",0,0,0,0,1,0,0
42,34.95786,"POLYGON ((370229.4499770263 3284984.226259969, 370229.2671344699 3284981.131403469, 370220.0287775053 3284982.348554952, 370220.3363473797 3284985.063561143, 370220.3543556193 3284985.061906667, 370229.4499770263 3284984.226259969))",0,0,0,0,1,0,0
43,35.18762,"POLYGON ((370217.1382029802 3284988.482839556, 370220.6698679896 3284988.158373084, 370220.3543556193 3284985.061906667, 370216.7559176693 3284985.392507805, 370217.1382029802 3284988.482839556))",0,1,0,0,0,0,0
44,35.17859,"POLYGON ((370216.7559176693 3284985.392507805, 370220.3363473797 3284985.063561143, 370220.0287775053 3284982.348554952, 370216.4378935667 3284982.821653113, 370216.7559176693 3284985.392507805))",0,1,0,0,0,0,0
45,32.53443,"POLYGON ((370209.8847657582 3285056.313270554, 370207.1314382143 3285058.196598276, 370208.3243488166 3285060.021392511, 370211.0769878328 3285058.138535749, 370209.8847657582 3285056.313270554))",0,1,0,0,0,0,0
46,35.40607,"POLYGON ((370150.5464367596 3284966.081308458, 370150.7539140778 3284968.838735279, 370153.5737621794 3284968.560655998, 370153.4072738634 3284965.878040388, 370150.5464367596 3284966.081308458))",0,1,0,0,0,0,0
47,35.19197,"POLYGON ((370150.7539140778 3284968.838735279, 370150.8242044281 3284969.772912059, 370154.5512628332 3284969.790625297, 370154.1341259629 3284957.244091487, 370149.8819035264 3284957.249491177, 370150.5464367596 3284966.081308458, 370153.4072738634 3284965.878040388, 370153.5737621794 3284968.560655998, 370150.7539140778 3284968.838735279))",0,0,0,0,1,0,0
48,31.90099,"POLYGON ((370146.1317609223 3284973.953892894, 370145.8872027965 3284969.227806447, 370141.9042065367 3284969.59120621, 370142.0380274625 3284974.160459206, 370146.1317609223 3284973.953892894))",0,1,0,0,0,0,0
49,32.56404,"POLYGON ((370149.8819035264 3284957.249491177, 370144.8479700536 3284957.255883528, 370145.5586423371 3284967.621374074, 370145.0042296341 3284967.696907295, 370145.1154159112 3284969.298222573, 370145.8872027965 3284969.227806447, 370146.4058815585 3284979.251274938, 370153.2076101666 3284978.908065494, 370152.86011336 3284969.782587934, 370150.8242044281 3284969.772912059, 370149.8819035264 3284957.249491177))",0,0,0,0,1,0,0
50,32.54886,"POLYGON ((370146.4058815585 3284979.251274938, 370146.1317609223 3284973.953892894, 370142.0380274625 3284974.160459206, 370142.2030448765 3284979.458036868, 370146.4058815585 3284979.251274938))",0,1,0,0,0,0,0
51,32.23644,"POLYGON ((370173.2668301724 3284965.725699829, 370172.596449947 3284965.734288821, 370172.6121445876 3284956.584532561, 370169.1491464255 3284956.663078826, 370169.1723865811 3284958.360232105, 370165.24464883 3284958.486521719, 370165.2447599955 3284958.537219316, 370165.2814041786 3284975.24914439, 370169.2747123698 3284975.07515242, 370169.1994733028 3284969.684171522, 370173.178076108 3284969.560311604, 370173.2668301724 3284965.725699829))",0,0,0,0,1,0,0
52,37.9429,"POLYGON ((370171.8448496647 3285090.076569052, 370169.1727179037 3285089.865308309, 370169.459773113 3285085.332594527, 370172.1426765108 3285085.548119683, 370172.4459457928 3285080.936918184, 370164.4980794322 3285080.337091446, 370163.641086583 3285091.422121348, 370171.7155492166 3285092.042578984, 370171.8448496647 3285090.076569052))",0,0,0,0,1,0,0
53,39.20049,"POLYGON ((370172.3227574648 3285082.809993492, 370179.0877233902 3285083.718866574, 370179.2651186613 3285081.466691708, 370172.4459457928 3285080.936918184, 370172.3227574648 3285082.809993492))",0,1,0,0,0,0,0
54,36.76988,"POLYGON ((370178.9772065924 3285085.121965719, 370178.3916884651 3285092.55558669, 370185.1363200592 3285093.073857488, 370185.6993075907 3285085.624262989, 370178.9772065924 3285085.121965719))",0,0,0,0,1,0,0
55,23.59114,"POLYGON ((370185.9690343682 3285082.055169513, 370182.9799640859 3285081.792785319, 370179.2651186613 3285081.466691708, 370179.0877233902 3285083.718866574, 370178.9772065924 3285085.121965719, 370185.6993075907 3285085.624262989, 370185.9690343682 3285082.055169513))",0,0,0,0,1,0,0
56,36.76988,"POLYGON ((370178.9772065924 3285085.121965719, 370179.0877233902 3285083.718866574, 370172.3227574648 3285082.809993492, 370171.7155492166 3285092.042578984, 370178.3916884651 3285092.55558669, 370178.9772065924 3285085.121965719))",0,0,0,0,1,0,0
57,37.14079,"POLYGON ((370183.892610875 3285108.722397359, 370184.1069375668 3285106.090248037, 370180.4000810795 3285105.871757342, 370180.218311213 3285108.466668142, 370183.892610875 3285108.722397359))",0,1,0,0,0,0,0
58,32.66274,"POLYGON ((370215.2475889651 3285075.57633701, 370210.7299398175 3285070.314643629, 370201.0524888383 3285078.69689991, 370205.6587494202 3285084.052769173, 370215.2475889651 3285075.57633701))",0,1,0,0,0,0,0
59,29.87553,"POLYGON ((370264.2375972485 3285122.928218737, 370267.9391996013 3285118.255822534, 370261.9339615358 3285114.067712013, 370265.3437056066 3285109.45036222, 370271.2096045278 3285114.21666692, 370274.7574863173 3285109.783574006, 370267.1548981592 3285103.551991222, 370264.9884069376 3285106.274104759, 370266.672812908 3285107.69458128, 370265.5291498816 3285109.06682967, 370263.6959352707 3285111.266451174, 370261.2123694941 3285109.229677502, 370254.0935205668 3285117.087870447, 370264.2375972485 3285122.928218737))",0,1,0,0,0,0,0
60,29.8197,"POLYGON ((370270.4975176407 3285115.106422421, 370268.4521909207 3285117.860148415, 370273.3338830797 3285121.886415936, 370276.0036128042 3285118.481675571, 370271.0384059595 3285114.430580232, 370270.4975176407 3285115.106422421))",0,0,0,0,1,0,0
61,31.95182,"POLYGON ((370266.8315912355 3285125.257935911, 370267.2961286986 3285124.689016892, 370269.6482483093 3285126.586752957, 370273.3338830797 3285121.886415936, 370268.4521909207 3285117.860148415, 370264.3960208027 3285123.328091113, 370266.8315912355 3285125.257935911))",0,0,0,0,1,0,0
